private_entity,label,wikidata_uri,wikidata_id,wikidata_label,wikidata_description,confidence
http://cinema-kb.org/TheUnitedKingdom,the United Kingdom,http://www.wikidata.org/entity/Q145,Q145,United Kingdom,island country in north-west Europe,0.875
http://cinema-kb.org/Marty,Marty,http://www.wikidata.org/entity/Q16279078,Q16279078,Marty,male given name,1.0
http://cinema-kb.org/Ucl,UCL,,,,,0.5
http://cinema-kb.org/TheEuropeanUnion,the European Union,http://www.wikidata.org/entity/Q136183968,Q136183968,The European Union,book 2008,1.0
http://cinema-kb.org/JoshWelsh,Josh Welsh,http://www.wikidata.org/entity/Q116504365,Q116504365,Josh Welsh,rugby league footballer,1.0
http://cinema-kb.org/1889,1889,http://www.wikidata.org/entity/Q3226134,Q3226134,1889,natural number,1.0
http://cinema-kb.org/WarnerBaxter,Warner Baxter,http://www.wikidata.org/entity/Q312073,Q312073,Warner Baxter,American actor (1889–1951),1.0
http://cinema-kb.org/Algeria,Algeria,http://www.wikidata.org/entity/Q262,Q262,Algeria,country in North Africa,1.0
http://cinema-kb.org/Australia,Australia,http://www.wikidata.org/entity/Q408,Q408,Australia,country in Oceania,1.0
http://cinema-kb.org/Croatia,Croatia,http://www.wikidata.org/entity/Q224,Q224,Croatia,country in Central Europe,1.0
http://cinema-kb.org/Iceland,Iceland,http://www.wikidata.org/entity/Q189,Q189,Iceland,Nordic island country in the North Atlantic Ocean,1.0
http://cinema-kb.org/NewZealand,New Zealand,http://www.wikidata.org/entity/Q664,Q664,New Zealand,island country in the southwest Pacific Ocean,1.0
http://cinema-kb.org/Estonia,Estonia,http://www.wikidata.org/entity/Q191,Q191,Estonia,country in Northern Europe,1.0
http://cinema-kb.org/Montenegro,Montenegro,http://www.wikidata.org/entity/Q236,Q236,Montenegro,country in southeastern Europe,1.0
http://cinema-kb.org/Albania,Albania,http://www.wikidata.org/entity/Q222,Q222,Albania,country in southeastern Europe,1.0
http://cinema-kb.org/BosniaAndHerzegovina,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q225,Q225,Bosnia and Herzegovina,country in Southeast Europe,1.0
http://cinema-kb.org/Austria,Austria,http://www.wikidata.org/entity/Q40,Q40,Austria,country in Central Europe,1.0
http://cinema-kb.org/Denmark,Denmark,http://www.wikidata.org/entity/Q35,Q35,Denmark,country in Northern Europe and North America,1.0
http://cinema-kb.org/Switzerland,Switzerland,http://www.wikidata.org/entity/Q39,Q39,Switzerland,country in Central Europe,1.0
http://cinema-kb.org/Norway,Norway,http://www.wikidata.org/entity/Q20,Q20,Norway,country in Northern Europe,1.0
http://cinema-kb.org/Malta,Malta,http://www.wikidata.org/entity/Q233,Q233,Malta,country in Southern Europe situated on an archipelago in the Mediterranean Sea,1.0
http://cinema-kb.org/VictorFleming,Victor Fleming,http://www.wikidata.org/entity/Q62503,Q62503,Victor Fleming,"American film director, cinematographer, and producer (1889–1949)",1.0
http://cinema-kb.org/Portugal,Portugal,http://www.wikidata.org/entity/Q45,Q45,Portugal,country in Southwestern Europe,1.0
http://cinema-kb.org/LosAngeles,Los Angeles,http://www.wikidata.org/entity/Q65,Q65,Los Angeles,"seat of Los Angeles County, and largest city in California, United States",1.0
http://cinema-kb.org/JosNepomuceno,José Nepomuceno,http://www.wikidata.org/entity/Q2377999,Q2377999,José Nepomuceno,film director,1.0
http://cinema-kb.org/ArchieMayo,Archie Mayo,http://www.wikidata.org/entity/Q633939,Q633939,Archie Mayo,movie director and stage actor (1891-1968),1.0
http://cinema-kb.org/LasVegas,Las Vegas,http://www.wikidata.org/entity/Q23768,Q23768,Las Vegas,"seat of Clark County, and largest city in state of Nevada, United States",1.0
http://cinema-kb.org/FrankCapra,Frank Capra,http://www.wikidata.org/entity/Q51492,Q51492,Frank Capra,Italian-born American film director (1897–1991),1.0
